time_ms,accel_roll_deg,accel_pitch_deg,filtered_roll_deg,filtered_pitch_deg,gyro_x_corrected_dps,gyro_y_corrected_dps
65218.0,-0.69,-1.47,-0.06,-1.71,-0.04,-0.12
65521.0,-0.11,-2.22,0.03,-1.8,0.32,-0.25
65824.0,0.07,-1.42,0.04,-1.8,0.03,-0.04
66127.0,0.19,-1.99,0.06,-1.81,0.06,-0.01
66430.0,-0.41,-1.39,0.02,-1.76,-0.1,0.13
66744.0,-0.43,-1.81,0.01,-1.74,0.0,0.07
67047.0,-0.26,-1.84,0.03,-1.83,0.09,-0.28
67350.0,0.28,-1.93,0.11,-1.82,0.25,0.02
67653.0,-0.33,-1.87,0.08,-1.86,-0.07,-0.12
67956.0,-0.55,-1.71,0.05,-1.84,-0.05,0.07
68259.0,-0.55,-1.83,0.02,-1.85,-0.06,-0.05
68562.0,0.0,-1.87,0.06,-1.85,0.14,0.01
68865.0,0.04,-1.59,0.1,-1.84,0.13,0.02
69168.0,0.04,-1.78,0.14,-1.85,0.12,-0.06
69471.0,-0.54,-1.55,0.06,-1.86,-0.23,-0.04
69774.0,-0.4,-1.77,0.02,-1.91,-0.09,-0.19
70077.0,-0.26,-1.77,0.06,-1.83,0.15,0.26
70391.0,-0.19,-1.68,0.07,-1.82,0.05,0.04
70694.0,-0.14,-1.85,0.06,-1.77,-0.02,0.18
70997.0,-0.11,-1.84,0.06,-1.78,0.0,-0.04
71300.0,-0.47,-1.64,0.02,-1.81,-0.09,-0.11
71603.0,-0.21,-1.71,0.04,-1.78,0.07,0.09
71906.0,0.21,-1.78,0.05,-1.84,0.04,-0.19
72209.0,-0.1,-1.77,0.02,-1.83,-0.12,0.03
72512.0,-0.25,-1.81,-0.0,-1.87,-0.04,-0.12
72815.0,-0.52,-1.76,0.0,-1.85,0.06,0.04
73118.0,-0.07,-1.52,-0.03,-1.88,-0.1,-0.11
73421.0,0.0,-1.8,-0.05,-1.92,-0.08,-0.14
73724.0,-0.12,-1.83,-0.05,-1.94,0.0,-0.06
74038.0,-0.54,-1.58,-0.01,-1.95,0.16,-0.07
74341.0,-0.4,-1.76,0.06,-1.92,0.26,0.08
74644.0,-0.07,-1.71,0.09,-1.94,0.11,-0.09
74947.0,0.21,-1.82,0.04,-1.92,-0.15,0.07
75250.0,-0.22,-1.73,-0.01,-1.92,-0.17,-0.03
75553.0,-0.59,-1.59,-0.04,-1.88,-0.06,0.12
75856.0,-0.03,-1.74,-0.02,-1.89,0.08,-0.03
76159.0,-0.03,-1.78,0.01,-1.91,0.08,-0.09
76462.0,-0.04,-1.62,-0.03,-1.9,-0.11,-0.0
76765.0,-0.53,-1.91,-0.06,-1.95,-0.08,-0.14
77068.0,-0.32,-1.74,-0.02,-1.97,0.15,-0.1
77371.0,0.14,-1.65,-0.0,-1.98,0.07,-0.06
77685.0,0.27,-1.74,-0.08,-1.99,-0.28,-0.04
77988.0,-0.08,-1.89,-0.13,-2.03,-0.17,-0.13
78291.0,-0.21,-1.75,-0.18,-2.05,-0.16,-0.1
78594.0,-0.53,-1.58,-0.16,-2.04,0.09,-0.01
78897.0,-0.15,-1.6,-0.12,-2.05,0.13,-0.03
79200.0,0.11,-1.65,-0.12,-2.01,-0.02,0.09
79503.0,-0.29,-1.87,-0.15,-1.96,-0.1,0.15
79806.0,-0.5,-1.89,-0.13,-1.99,0.11,-0.11
80109.0,-0.23,-2.0,-0.11,-1.93,0.08,0.21
80412.0,-0.14,-1.5,-0.06,-1.96,0.15,-0.12
80715.0,0.0,-1.92,-0.06,-1.95,-0.01,0.04
81018.0,-0.41,-1.91,-0.09,-2.02,-0.07,-0.24
81332.0,-0.46,-1.67,-0.16,-2.06,-0.21,-0.16
81635.0,-0.08,-1.55,-0.11,-2.08,0.17,-0.09
81938.0,-0.07,-1.7,-0.04,-1.99,0.24,0.26
82241.0,-0.28,-1.8,-0.04,-1.98,0.0,0.02
82544.0,-0.15,-1.72,-0.03,-2.07,0.03,-0.32
82847.0,0.0,-1.75,-0.05,-2.07,-0.05,-0.03
83150.0,-0.07,-1.49,-0.05,-2.06,0.0,0.02
83453.0,-0.29,-1.63,-0.06,-2.01,-0.01,0.14
83756.0,-0.4,-2.0,-0.01,-2.05,0.17,-0.15
84059.0,-0.14,-1.97,0.03,-1.95,0.16,0.33
84362.0,-0.24,-1.82,0.08,-2.1,0.18,-0.5
84665.0,-1.87,0.77,3.67,-11.96,12.23,-33.39
84979.0,-0.16,-20.13,1.47,-29.73,-6.93,-57.23
85282.0,4.37,-41.8,4.29,-42.01,9.32,-40.54
85585.0,2.42,-48.38,4.76,-47.58,1.69,-18.32
85888.0,5.99,-54.92,5.39,-45.93,2.04,6.06
86191.0,0.79,-48.5,6.65,-46.48,4.57,-1.69
86494.0,0.91,-51.0,5.9,-45.9,-2.14,2.26
86797.0,1.33,-48.76,4.94,-48.26,-2.93,-7.75
87100.0,1.43,-51.62,4.95,-48.99,0.26,-2.24
87403.0,1.05,-52.84,5.25,-49.84,1.28,-2.61
87706.0,1.82,-55.71,5.71,-51.86,1.76,-6.4
88009.0,0.0,-54.42,7.09,-53.51,5.06,-5.4
88312.0,0.71,-53.83,7.02,-53.85,0.2,-1.1
88626.0,-0.02,-54.66,5.35,-53.93,-4.98,-0.21
88929.0,0.32,-55.17,4.22,-53.99,-3.46,-0.12
89232.0,1.89,-57.27,3.53,-53.74,-2.18,1.07
89535.0,0.2,-56.78,3.81,-53.02,1.19,2.64
89838.0,-0.75,-57.16,4.36,-54.01,2.15,-3.06
90141.0,0.75,-59.01,3.76,-52.68,-1.78,4.79
90444.0,-0.92,-56.44,4.75,-51.96,3.64,2.69
90747.0,0.34,-58.82,4.75,-51.65,0.32,1.5
91050.0,1.21,-59.55,4.31,-51.41,-1.26,1.35
91353.0,3.44,-60.07,3.39,-51.12,-3.04,1.55
91656.0,1.95,-60.83,2.94,-51.7,-1.39,-1.29
91959.0,2.23,-61.43,2.71,-52.4,-0.74,-1.69
92273.0,1.34,-58.9,2.54,-52.57,-0.46,-0.15
92576.0,2.47,-61.24,1.86,-52.2,-2.31,1.82
92879.0,1.84,-60.1,2.23,-51.47,1.26,2.99
93182.0,1.33,-58.87,2.36,-50.7,0.51,3.09
93485.0,1.34,-58.73,2.0,-50.0,-1.17,2.9
93788.0,-1.04,-53.54,0.89,-35.82,-3.52,48.0
94091.0,-2.52,-37.67,-0.36,-10.08,-3.98,86.82
94394.0,-1.6,-15.47,-0.94,9.03,-1.89,64.71
94697.0,-3.08,3.7,0.62,29.55,5.42,69.47
95000.0,-1.17,23.87,-0.01,46.92,-2.01,58.88
95303.0,-0.49,43.69,-1.68,58.89,-5.58,40.52
95606.0,-3.52,62.4,-4.94,71.58,-10.88,42.51
95920.0,6.9,62.07,-4.63,30.37,0.26,-133.31
96223.0,3.0,34.85,-5.89,3.45,-4.76,-90.96
96526.0,0.13,14.5,-8.76,-25.14,-10.09,-97.02
96829.0,1.76,-14.91,-9.29,-57.31,-2.5,-109.02
97132.0,1.31,-39.32,-8.72,-68.28,1.23,-38.17
97435.0,6.08,-62.37,-9.09,-90.51,-2.24,-75.27
97738.0,4.05,-55.42,-7.39,-49.97,4.82,134.18
98041.0,2.43,-31.56,-2.25,-34.86,16.67,49.65
98344.0,11.01,-20.11,4.32,-25.27,21.21,31.3
98647.0,20.42,-10.49,14.53,-19.45,33.32,18.59
98950.0,33.04,-8.02,30.82,-11.19,53.62,27.04
99253.0,45.24,2.51,34.79,-2.15,12.38,29.52
99567.0,38.71,-9.33,14.0,-9.29,-67.82,-22.74
99870.0,18.51,-11.88,-8.92,-14.77,-77.49,-18.25
100173.0,-4.51,-15.8,-21.36,-13.35,-42.2,4.85
100476.0,-12.63,-13.1,-28.44,-15.26,-24.42,-6.45
100779.0,-15.88,-10.38,-33.37,-5.68,-17.46,31.92
101082.0,-22.28,-0.35,-34.02,7.97,-2.94,45.61
101385.0,-25.57,1.2,-24.32,-1.51,32.11,-31.45
101688.0,-14.39,-5.02,-8.2,-13.23,53.61,-39.23
101991.0,-7.57,-10.69,0.25,-6.43,28.42,22.72
102294.0,-0.52,0.64,5.47,6.81,17.63,44.1
102597.0,2.28,18.57,8.22,29.9,9.49,76.99
102900.0,5.11,35.25,10.87,50.53,9.11,69.1
103214.0,2.0,51.66,14.52,63.86,12.46,43.24
