sample_index,time_s,raw_time_ms,dt_s,accel_x_g,accel_y_g,accel_z_g,accel_roll_deg,accel_pitch_deg,filtered_roll_deg,filtered_pitch_deg,gyro_x_corrected_dps,gyro_y_corrected_dps
0,0.0,199614.0,0.02,0.02808,-0.00049,1.0144,-0.028,-1.585,-0.101,-1.59,-0.0063,-0.1106
1,0.02,199634.0,0.02,0.02588,-0.01099,1.00952,-0.624,-1.468,-0.105,-1.586,0.3144,0.0803
2,0.04,199654.0,0.02,0.02686,-0.0144,1.01636,-0.812,-1.513,-0.12,-1.583,-0.0063,0.0574
3,0.06,199674.0,0.02,0.02661,-0.00586,1.02026,-0.329,-1.494,-0.129,-1.583,-0.2582,-0.0419
4,0.08,199694.0,0.02,0.02637,-0.00391,1.01001,-0.222,-1.495,-0.13,-1.581,0.0395,-0.0266
5,0.1,199714.0,0.02,0.02808,0.00415,1.01904,0.233,-1.578,-0.122,-1.582,0.0472,-0.0648
6,1.06,200674.0,0.02,0.02637,-0.00562,1.0127,-0.318,-1.491,-0.109,-1.578,-0.2276,0.0803
7,1.08,200694.0,0.02,0.02417,-0.0022,1.01709,-0.124,-1.361,-0.115,-1.574,-0.3269,-0.0419
8,1.1,200714.0,0.02,0.02612,0.00024,1.02124,0.014,-1.465,-0.113,-1.569,-0.0292,0.1719
9,1.12,200734.0,0.02,0.02563,-0.00415,1.01587,-0.234,-1.446,-0.117,-1.566,-0.0521,0.0192
10,1.14,200754.0,0.02,0.02686,-0.00806,1.02148,-0.452,-1.506,-0.123,-1.562,0.0319,0.1566
11,1.16,200774.0,0.02,0.03491,-0.00366,1.01685,-0.206,-1.966,-0.124,-1.569,0.0395,0.0421
12,1.18,200794.0,0.02,0.03271,-0.00098,1.0127,-0.055,-1.85,-0.124,-1.578,-0.0826,-0.1945
13,1.2,200814.0,0.02,0.03125,-0.00122,1.01563,-0.069,-1.762,-0.122,-1.582,0.0472,0.0268
14,1.22,200834.0,0.02,0.03125,-0.0022,1.01929,-0.124,-1.756,-0.121,-1.587,0.0395,-0.0724
15,1.24,200854.0,0.02,0.02393,0.00098,1.01563,0.055,-1.35,-0.115,-1.581,0.154,0.0268
16,1.26,200874.0,0.02,0.02612,-0.00464,1.0166,-0.261,-1.472,-0.118,-1.579,-0.0368,-0.0113
17,1.28,200894.0,0.02,0.02832,-0.00659,1.01636,-0.372,-1.596,-0.124,-1.582,-0.0368,-0.1106
18,1.3,200914.0,0.02,0.02393,-0.00244,1.01514,-0.138,-1.35,-0.121,-1.575,0.1769,0.1184
19,1.32,200934.0,0.02,0.02515,-0.00439,1.01831,-0.247,-1.415,-0.124,-1.579,-0.0215,-0.3548
20,1.34,200954.0,0.02,0.03027,-0.00439,1.00903,-0.25,-1.718,-0.129,-1.577,-0.136,0.2406
21,1.36,200974.0,0.02,0.02979,-0.00171,1.01611,-0.096,-1.679,-0.127,-1.581,0.0472,-0.0953
22,1.38,200994.0,0.02,0.03003,-0.00244,1.01685,-0.138,-1.692,-0.125,-1.579,0.1388,0.2177
23,1.4,201014.0,0.02,0.03174,-0.00073,1.0166,-0.041,-1.788,-0.126,-1.582,-0.136,0.0192
24,1.42,201034.0,0.02,0.0293,-0.00317,1.01611,-0.179,-1.652,-0.127,-1.585,-0.0215,-0.0571
25,1.44,201054.0,0.02,0.03027,-0.00513,1.01904,-0.288,-1.702,-0.132,-1.59,-0.0902,-0.1411
26,1.46,201074.0,0.02,0.0271,-0.0022,1.01294,-0.124,-1.532,-0.133,-1.59,-0.0521,-0.0571
27,1.48,201094.0,0.02,0.02417,-0.00293,1.0144,-0.165,-1.365,-0.135,-1.587,-0.0521,-0.0877
28,1.5,201114.0,0.02,0.02246,-0.00244,1.02246,-0.137,-1.258,-0.132,-1.58,0.1464,0.0192
29,1.52,201134.0,0.02,0.02197,-0.00269,1.01758,-0.151,-1.237,-0.136,-1.573,-0.1589,0.0116
30,1.54,201154.0,0.02,0.02734,-0.00146,1.00952,-0.083,-1.552,-0.129,-1.572,0.2686,0.0497
31,1.56,201174.0,0.02,0.02881,-0.00024,1.01221,-0.014,-1.63,-0.121,-1.57,0.2991,0.1337
32,1.58,201194.0,0.02,0.03467,-0.00024,1.01074,-0.014,-1.964,-0.118,-1.579,0.0701,-0.0648
